I.D.,address,flock_size,no_of_shed,age_days,mortality_pattern,total_mortality,farm_type,origin_of_chicks,origin_of_feed,vaccination_history,previous_outbreak_of_AI,water_source,flooring,age_of_farms,distance_from_main_road,apron,boot,vehicles ,water_bath,visitors,self_senitization,animal_and_birds,rodents,litter_dispose,dead_bird_disposal,nearby_farm_distance,nearby_farm_type,fencing,culling_during_sick,fumigation_of_farm,batch_interval,daignosis,sub_type,aiv_status
T1,Kathmandu,1000,1,24,35/Day,,CB,Annapurna,Poshak,1,2,1,2,2 Years,0.5 km,1,1,2,2,1,1,1,1,1,1,0.5,1,2,1,2,1 Month,PM and Kit,H9,case
T2,Bhaktapur,1100,4,14,35/Day,,CB,Avinash,Shakti,1,2,2,2,10 Years,0.2 km,2,1,2,2,2,2,1,1,1,1,0.07,1,2,1,2,75 Days,PM and Kit,H9,case
T3,Kathmandu,1500,2,180,30/Day,,CL,Shreenagar,Sunaulo,1,1,3,2,1 Year,0.1 km,1,1,1,2,2,1,1,1,1,1,0.1,1,1,1,2,3 Months,PM and Kit,H9,case
T4,Lalitpur,1300,1,60,"40, 65",,CL,Manandhar,Shakti,1,2,4,2,3 Months,0.1 km,1,2,1,2,1,1,1,1,1,1,0.5,1,2,2,2,15-20 Days,PM and Kit,H9,case
T5,Lalitpur,200,1,37,10/Day,,"CB, Local","Local Market, Kathmandu",,1,2,2,1,4 Months,0.055 km,2,2,1,2,1,2,1,1,1,1,0.2,2,1,1,2,15-20 Days,PM and Kit,H9,case
T6,Bhaktapur,2200,1,31,"2, 2, 30, 120",,CB,Valley,Siddhartha,1,2,1,2,6 Months,0.1 km,1,1,1,2,1,1,1,1,3,1,0.03,1,1,1,2,15-20 Days,PM and Kit,H9,case
T7,Bhaktapur,25,1,365,45,,Duck,Nepal,Nepal,2,2,1,2,2 Years,1 km,2,2,1,2,1,2,1,1,1,1,0.2,3,2,2,2,15-20 Days,PM and Kit,H9,case
T8,Kathmandu,350,1,545,2,,Duck,Nepal,Nepal,2,2,1,2,3 Years,1 km,2,2,1,2,1,2,1,1,1,1,0.2,3,2,2,2,15-20 Days,PM and Kit,H9,case
T9,Bhaktapur,2000,1,36,8/Day,,CB,Star,Star,1,2,4,2,6 Months,0.02 km,2,2,1,2,1,1,1,1,1,1,2,2,2,1,2,15-20 Days,PM and Kit,H9,case
T10,Kathmandu,2200,1,32,>100/Day,,CB,Aadhunik,Budhanilkantha,1,2,4,2,3 Years,4 km,1,1,2,2,2,1,2,1,1,1,0.05,1,2,1,2,45 Days,PM and Kit,H9,case
T11,Kathmandu,18,1,98,4,,"Sakini, Duck",Aadhunik,Kantipur,1,2,3,2,5 Months,0.5 km,2,1,2,2,2,1,2,2,1,1,0.016,1,1,1,2,2 Months,PM and Kit,H9,case
T12,Kathmandu,100,1,27,"5, 10, 17, 40",,CB,Valley,Poshak,1,2,1,1,5 Years,0.07 km,2,1,1,2,2,1,1,2,1,1,0.3,1,2,2,2,20 Days,PM and Kit,H9,case
T13,"Thankot, Chandragiri-2",1500,1,9,100/Day,1300,CB,DG poultry,New Hope,1,2,1,2,6 Months,0.4 km,2,1,2,1,1,2,1,2,2,1,0.05 km,1,1,2,2,15 Days,PM and Kit,H9,case
T14,Kirtipur-4,2500,2,32,"19,26,80,35,30,5",195,CB,Lalitpur,Siddhartha,1,2,1,2,2 Years,0.5 km,2,1,2,2,1,2,2,2,3,2,0.035 km,1,2,2,2,25 Days,PM and Kit,H5,case
T15,"Gothatar-11, Manohara, Kageshowri",1000,2,36,20-25/Day for 6 Days,200,Backyard,Balaju,Quality,1,2,3,2,3 Years,0.025 km,2,2,2,2,1,1,1,1,1,1,0.005 km,,1,2,2,1 Month,PM and Kit,H9,case
T16,Kapan,3000,2,26,"5,5,5,5,2,1",130,Kroiler,Valley,Valley,1,2,1,2,1 Year,0.5 km,2,1,2,2,1,2,1,2,1,1,0.035 km,1,2,1,2,15 Days,PM and Kit,H9,case
T17,"Bhaktapur, Dadhikot",1600,2,3,"60,75,100,150,100,106,100",600,CB,Valley,Valley,1,2,1,2,1.5 Year,0.2 km,1,1,1,2,1,1,1,1,1,1,0.2 km,1,1,1,1,40 Days,PM and Kit,H9,case
T18,Ramkot,2500,3,24,"4,13,24,100,100",250,CB,Banepa Hatchery,Siddhartha,1,2,4,2,5 Years,0.06 km,2,1,2,2,1,1,1,1,2,1,1 km,1,1,1,2,30 Days,PM and Kit,H9,case
T19,Kirtipur,1000,1,35,"33,12",300,CB,,,1,2,1,2,2 Years,1 km,2,2,2,2,2,1,1,1,1,1,0.002 km,1,1,1,2,2 Months,PM and Kit,H9,case
T20,Bhaisepati-25,2000,2,42,"10,17,40,60,166,166,155",650,CB,Valley,Valley,1,2,1,2,3 Years,0.2 km,1,1,2,2,1,2,1,1,1,2,1 km,1,2,1,2,20 Days,PM and Kit,H9,case
T21,Sallaghari,2000,2,18,"10,20,45,50,150,150",500,CB,New Bandipur,New Bandipur,1,1,1,2,10 Years,1 km,1,1,2,2,2,1,2,1,1,1,0.01 km,1,2,2,2,5 Months,PM and Kit,H9,case
T22,"Chaunikhel, Jagtol",3500,2,27,"10,10,40,27,65",300,CB,Budhanilkanth,Nepal Feed,1,2,4,2,6 Months,0.5 km,2,1,1,2,1,1,1,1,1,1,0.5 km,1,2,2,2,1 Month,PM and Kit,H9,case
T23,Sundarijal,2200,1,105,"60,70",130 (1800 at follow up),CL,Shreenagar,Shreenagar,1,2,1,2,4 Months,2 km,1,1,2,2,1,2,1,2,1,1,1 km,2,2,1,2,25 Days,PM and Kit,H9,case
T24,Dadhikot,1000,1,31,80-100/Day,700,CB,,Booster,2,2,1,2,6 Months,0.5 km,2,1,2,2,1,2,1,1,1,1,0.2 km,1,2,1,2,20 Days,PM and Kit,H9,case
T25,Dadhikot,2500,1,31,"30,30,80,60,110,100",400,CB,Kantipur,Siddhartha,1,2,1,2,6 Months,1 km,2,1,2,2,1,1,1,2,1,1,0.3 km,1,2,1,2,1 Month,PM and Kit,H9,case
T26,Kirtipur-4,2000,1,24,"8,15,32",150,CB,Chitwan,Chitwan,1,2,1,2,4 Years,0.06 km,1,1,2,2,2,1,2,1,1,1,0.15 km,1,1,2,1,20 Days,PM and Kit,H9,case
T27,"Talcha, Panchitar",2000,1,,,,CL,Pancharatna ,Pancharatna,1,1,1,1,14 Years,0.3 km,2,1,1,1,2,1,2,1,3,1,1 km,2,1,1,1,2 Months,PM and Kit,H9,case
T28,Bhaktapur,1800,1,210,131/Day,,CL,,,1,2,2,1,15 Years,0.01 km,1,1,2,1,2,1,2,2,3,1,1 km,2,1,1,1,5 Months,PM and Kit,H9,case
T29,"Manamaiju, Tarakeshwor-9",2200,,270,10/day,,CL,Shreenagar,Shreenagar,1,2,3,1,4 Years,1 km,2,2,2,1,2,1,2,1,3,4,2 km,2,1,2,1,1 Month,PM and Kit,H9,case
T30,"Teku, Kathmandu",2500,1,175,,,CL,Pancharatna ,Pancharatna,1,1,3,1,13 Years,0.15 km,1,1,1,1,2,1,2,1,3,3,0.8 km,2,1,1,1,2 Months,PM and Kit,H9,case
